Line,x,y,z,lotzeit
_min_118_118_1__,422179.624158,211245.270549,2706.94280952,244.7
_min_118_118_1__,422180.701518,211246.314242,2707.0738011,251.4
_min_118_118_1__,422181.778879,211247.357935,2707.17499422,255.65
_min_118_118_1__,422182.856239,211248.401628,2707.15924197,259.05
_min_118_118_1__,422183.933599,211249.445321,2707.02654428,262.45
_min_118_118_1__,422185.01096,211250.489013,2706.53821102,265.8
_min_118_118_1__,422186.08832,211251.532706,2705.94547243,269.2
_min_118_118_1__,422187.16568,211252.576399,2705.24837239,272.6
_min_118_118_1__,422188.243041,211253.620092,2704.44691073,276
_min_118_118_1__,422189.320401,211254.663785,2703.54108775,279.35
_min_118_118_1__,422190.397761,211255.707477,2703.30100008,282.75
_min_118_118_1__,422191.475122,211256.75117,2703.43635238,286.15
_min_118_118_1__,422192.552482,211257.794863,2703.46734325,289.5
_min_118_118_1__,422193.629842,211258.838556,2703.39397268,292.9
_min_118_118_1__,422194.707203,211259.882249,2703.21624044,296.3
_min_118_118_1__,422195.784563,211260.925942,2702.58872112,299.7
_min_118_118_1__,422196.861923,211261.969634,2701.85855106,303.05
_min_118_118_1__,422197.939284,211263.013327,2701.02491924,306.45
_min_118_118_1__,422199.000198,211264.069799,2700.08126067,309.85
_min_118_118_1__,422199.74535,211265.371624,2699.28960999,313.2
_min_118_118_1__,422200.490502,211266.673449,2699.49708165,316.6
_min_118_118_1__,422201.235654,211267.975274,2699.66516616,320
_min_118_118_1__,422201.980807,211269.277099,2699.74399383,323.4
_min_118_118_1__,422202.725959,211270.578924,2699.2951826,326.75
_min_118_118_1__,422203.471111,211271.880749,2698.33865698,330.15
_min_118_118_1__,422204.216264,211273.182574,2697.47138793,333.55
_min_118_118_1__,422204.961416,211274.484398,2696.69337624,336.9
_min_118_118_1__,422205.706568,211275.786223,2696.28488793,340.3
_min_118_118_1__,422206.45172,211277.088048,2696.2323969,343.7
_min_118_118_1__,422207.196873,211278.389873,2696.26137547,347.1
_min_118_118_1__,422207.942025,211279.691698,2696.37182384,350.45
_min_118_118_1__,422208.687177,211280.993523,2695.77395255,353.85
_min_118_118_1__,422209.43233,211282.295348,2694.87565587,357.25
_min_118_118_1__,422210.177482,211283.597173,2693.9174428,360.65
_min_118_118_1__,422210.922634,211284.898998,2693.02573817,364
_min_118_118_1__,422211.667787,211286.200823,2693.11200625,367.4
_min_118_118_1__,422212.412939,211287.502647,2693.20597931,370.8
_min_118_118_1__,422213.158091,211288.804472,2693.22623192,374.15
_min_118_118_1__,422213.903243,211290.106297,2693.11968296,377.55
_min_118_118_1__,422214.648396,211291.408122,2692.42214863,380.95
_min_118_118_1__,422215.393548,211292.709947,2691.79589907,382.65
_min_118_118_1__,422216.1387,211294.011772,2691.13387984,384.35
_min_118_118_1__,422370.770004,211575.897432,2657.68263008,421.25
_min_118_118_1__,422371.346907,211577.282056,2658.08036102,420.25
_min_118_118_1__,422371.923811,211578.666679,2658.33814645,419.3
_min_118_118_1__,422372.500714,211580.051302,2658.43198344,417.35
_min_118_118_1__,422373.077618,211581.435926,2657.90715418,415.4
_min_118_118_1__,422373.654522,211582.820549,2657.52227022,413.5
_min_118_118_1__,422374.231425,211584.205173,2657.27733129,411.55
_min_118_118_1__,422374.808329,211585.589796,2657.21026117,409.6
_min_118_118_1__,422375.385232,211586.97442,2657.09086295,407.7
_min_118_118_1__,422375.962136,211588.359043,2657.05218313,405.75
_min_118_118_1__,422376.53904,211589.743667,2657.16302781,403.8
_min_118_118_1__,422377.115943,211591.12829,2656.92017631,401.9
_min_118_118_1__,422377.692847,211592.512914,2656.43709299,399.95
_min_118_118_1__,422378.269751,211593.897537,2655.80000795,398
_min_118_118_1__,422378.846654,211595.282161,2655.23058726,396.1
_min_118_118_1__,422379.423558,211596.666784,2655.5586457,394.15
_min_118_118_1__,422380.000461,211598.051408,2656.04065778,392.2
_min_118_118_1__,422380.577365,211599.436031,2656.46126578,390.25
_min_118_118_1__,422381.149525,211600.822573,2656.06960419,388.35
_min_118_118_1__,422381.697156,211602.219033,2655.31787367,386.4
_min_118_118_1__,422382.244787,211603.615493,2654.71358058,384.45
_min_118_118_1__,422382.792419,211605.011952,2654.26260601,382.55
_min_118_118_1__,422383.34005,211606.408412,2654.49005483,380.6
_min_118_118_1__,422383.887681,211607.804872,2654.56700427,378.65
_min_118_118_1__,422384.435313,211609.201332,2654.49345391,376.75
_min_118_118_1__,422384.982944,211610.597792,2654.22793431,374.8
_min_118_118_1__,422385.530575,211611.994251,2654.02212441,372.85
_min_118_118_1__,422386.078206,211613.390711,2653.66911758,370.9
_min_118_118_1__,422386.625838,211614.787171,2653.16254892,369
_min_118_118_1__,422387.173469,211616.183631,2653.09713453,367.05
_min_118_118_1__,422387.7211,211617.580091,2653.2688137,365.1
_min_118_118_1__,422388.268732,211618.97655,2653.5940538,363.2
_min_118_118_1__,422388.816363,211620.37301,2653.7578811,361.25
_min_118_118_1__,422389.363994,211621.76947,2653.01492354,359.3
_min_118_118_1__,422389.911626,211623.16593,2652.11595474,357.4
_min_118_118_1__,422390.459257,211624.56239,2651.25452284,355.45
_min_118_118_1__,422391.006888,211625.958849,2651.41056374,353.5
_min_118_118_1__,422391.554519,211627.355309,2651.84778297,351.6
_min_118_118_1__,422392.102151,211628.751769,2652.12899089,349.65
_min_118_118_1__,422392.649782,211630.148229,2652.17037353,347.7
_min_118_118_1__,422393.196958,211631.544866,2651.52262902,345.75
_min_118_118_1__,422393.737727,211632.943997,2651.03159529,343.85
_min_118_118_1__,422394.278495,211634.343129,2650.69491218,341.9
_min_118_118_1__,422394.819264,211635.742261,2650.60409276,339.95
_min_118_118_1__,422395.360033,211637.141392,2650.48139946,338.05
_min_118_118_1__,422395.900801,211638.540524,2650.45124865,336.1
_min_118_118_1__,422396.44157,211639.939656,2650.58090126,334.15
_min_118_118_1__,422396.982339,211641.338787,2650.17866723,332.25
_min_118_118_1__,422397.523107,211642.737919,2649.58938074,330.3
_min_118_118_1__,422398.063876,211644.13705,2648.83726143,328.35
_min_118_118_1__,422398.604645,211645.536182,2648.3886622,326.4
_min_118_118_1__,422399.145413,211646.935314,2648.75303062,324.5
_min_118_118_1__,422399.686182,211648.334445,2649.28023116,322.55
_min_118_118_1__,422400.226951,211649.733577,2649.86117015,320.6
_min_118_118_1__,422400.767719,211651.132708,2649.06658357,318.7
_min_118_118_1__,422401.308488,211652.53184,2648.13184181,316.75
_min_118_118_1__,422401.849256,211653.930972,2647.35993326,314.5
_min_118_118_1__,422402.390025,211655.330103,2646.97362801,311.85
_min_118_118_1__,422402.930794,211656.729235,2647.26921557,308.9
_min_118_118_1__,422403.471562,211658.128366,2647.40015257,305.6
_min_118_118_1__,422404.012331,211659.527498,2647.36643887,302
_min_118_118_1__,422404.5531,211660.92663,2646.97606368,298.35
_min_118_118_1__,422405.093868,211662.325761,2646.60030018,294.7
_min_118_118_1__,422405.634637,211663.724893,2646.21214806,291.05
_min_118_118_1__,422406.182848,211665.121108,2645.69989078,287.45
_min_118_118_1__,422406.73664,211666.515136,2645.66920945,283.8
_min_118_118_1__,422407.290432,211667.909164,2645.80713206,280.15
_min_118_118_1__,422407.844224,211669.303193,2646.1136589,276.55
_min_118_118_1__,422408.398016,211670.697221,2645.98723947,272.9
_min_118_118_1__,422408.951808,211672.091249,2645.17576396,269.25
_min_118_118_1__,422409.5056,211673.485277,2644.19630273,265.6
_min_118_118_1__,422410.059392,211674.879305,2643.07960198,262
_min_118_118_1__,422410.613184,211676.273333,2643.60773693,258.35
_min_118_118_1__,422411.166976,211677.667361,2644.11236561,254.7
_min_118_118_1__,422411.721808,211679.060933,2644.44838637,251.1
_min_118_118_1__,422412.373385,211680.412024,2644.26166706,247.45
_min_118_118_1__,422413.024963,211681.763115,2643.48393915,243.8
_min_118_118_1__,422413.676541,211683.114206,2642.89777142,240.2
_min_118_118_1__,422414.328118,211684.465296,2642.50316412,236.55
_min_118_118_1__,422414.979696,211685.816387,2642.40169267,234.75
_min_118_118_1__,422415.631273,211687.167478,2642.20036565,232.9
_min_120_120_1__,421863.96792,211554.065132,2720.31616111,402.1
_min_120_120_1__,421865.305028,211554.744941,2719.84081817,407
_min_120_120_1__,421866.642137,211555.424751,2719.26701869,410.2
_min_120_120_1__,421867.978429,211556.106154,2718.95004218,414.7
_min_120_120_1__,421869.311544,211556.793761,2718.77726503,419.25
_min_120_120_1__,421870.64466,211557.481368,2718.74863114,423.75
_min_120_120_1__,421871.977775,211558.168975,2718.65318598,428.25
_min_120_120_1__,421873.310891,211558.856582,2718.4154614,432.75
_min_120_120_1__,421874.644006,211559.544189,2718.03545795,437.3
_min_120_120_1__,421875.977122,211560.231796,2717.81845286,441.8
_min_120_120_1__,421877.310237,211560.919403,2717.47115132,446.3
_min_120_120_1__,421878.643352,211561.60701,2717.01018045,450.85
_min_120_120_1__,421879.976468,211562.294617,2716.43554012,455.35
_min_120_120_1__,421881.309583,211562.982223,2715.79279441,459.85
_min_120_120_1__,421882.642699,211563.66983,2715.28504854,464.35
_min_120_120_1__,421883.975814,211564.357437,2714.91369169,468.9
_min_120_120_1__,421885.30893,211565.045044,2714.59320915,473.4
_min_120_120_1__,421886.642045,211565.732651,2714.24713422,477.9
_min_120_120_1__,421887.97516,211566.420258,2714.01691284,482.4
_min_120_120_1__,421889.308276,211567.107865,2713.90254483,486.95
_min_120_120_1__,421890.641391,211567.795472,2713.88007866,491.45
_min_120_120_1__,421891.974507,211568.483079,2713.77604101,495.95
_min_120_120_1__,421893.307622,211569.170686,2713.55614999,500.45
_min_120_120_1__,421894.640738,211569.858292,2713.22040509,505
_min_120_120_1__,421895.973853,211570.545899,2712.94905996,509.5
_min_120_120_1__,421897.306968,211571.233506,2712.6567601,514
_min_120_120_1__,421898.640084,211571.921113,2712.26473763,518.55
_min_120_120_1__,421899.973199,211572.60872,2711.77299274,522.6
_min_120_120_1__,421901.306315,211573.296327,2711.27598068,526.25
_min_120_120_1__,421902.63943,211573.983934,2710.8938843,529.45
_min_120_120_1__,421903.972546,211574.671541,2710.62692531,532.25
_min_120_120_1__,421905.305661,211575.359148,2710.46456897,534.6
_min_120_120_1__,421906.631266,211576.060911,2710.19817164,536.95
_min_120_120_1__,421907.948109,211576.779189,2710.03485933,539.3
_min_120_120_1__,421909.264953,211577.497467,2709.97219223,541.65
_min_120_120_1__,421910.581796,211578.215745,2709.96586122,544
_min_120_120_1__,421911.89864,211578.934024,2709.85908294,546.35
_min_120_120_1__,421913.215483,211579.652302,2709.65165924,548.7
_min_120_120_1__,421914.532326,211580.37058,2709.24509779,551.05
_min_120_120_1__,421915.84917,211581.088858,2708.92888953,553.4
_min_120_120_1__,421917.166013,211581.807136,2708.62544456,555.75
_min_120_120_1__,421918.482856,211582.525415,2708.2281707,558.1
_min_120_120_1__,421919.7997,211583.243693,2707.73706849,560.45
_min_120_120_1__,421921.116543,211583.961971,2707.3108177,562.8
_min_120_120_1__,421922.433386,211584.680249,2706.99748832,565.15
_min_120_120_1__,421923.75023,211585.398527,2706.91459651,567.5
_min_120_120_1__,421925.067073,211586.116806,2706.87728684,569.85
_min_120_120_1__,421926.383917,211586.835084,2706.67790834,572.2
_min_120_120_1__,421927.70076,211587.553362,2706.57008625,574.55
_min_120_120_1__,421929.017603,211588.27164,2706.55382039,576.9
_min_120_120_1__,421930.334447,211588.989918,2706.58087697,579.25
_min_120_120_1__,421931.65129,211589.708197,2706.44300011,581.6
_min_120_120_1__,421932.968133,211590.426475,2706.04012446,583.95
_min_120_120_1__,421934.284977,211591.144753,2705.57293699,586.3
_min_120_120_1__,421935.60182,211591.863031,2705.23890137,588.65
_min_120_120_1__,421936.918663,211592.581309,2704.91796043,591
_min_120_120_1__,421938.235507,211593.299588,2704.51303702,593.35
_min_120_120_1__,421939.55235,211594.017866,2704.02413206,595.7
_min_120_120_1__,421940.869193,211594.736144,2703.62317638,598.05
_min_120_120_1__,421942.186037,211595.454422,2703.576788,600.4
_min_120_120_1__,421943.50288,211596.1727,2703.59796179,602.75
_min_120_120_1__,421944.823278,211596.884415,2703.53480369,605.1
_min_120_120_1__,421946.14444,211597.594718,2703.40880934,607.45
_min_120_120_1__,421947.465603,211598.30502,2703.35118033,609.6
_min_120_120_1__,421948.786765,211599.015323,2703.36937696,611.55
_min_120_120_1__,421950.107928,211599.725625,2703.44398995,613.3
_min_120_120_1__,421951.42909,211600.435927,2703.08911999,614.9
_min_120_120_1__,421952.750253,211601.14623,2702.65168774,616.25
_min_120_120_1__,421954.071416,211601.856532,2702.29008127,617.65
_min_120_120_1__,421955.392578,211602.566835,2702.01145003,619
_min_120_120_1__,421956.713741,211603.277137,2701.73839754,620.4
_min_120_120_1__,421958.034903,211603.98744,2701.406785,621.75
_min_120_120_1__,421959.356066,211604.697742,2701.01661268,623.1
_min_120_120_1__,421960.677228,211605.408044,2700.87510352,624.5
_min_120_120_1__,421961.998391,211606.118347,2700.92480571,625.85
_min_120_120_1__,421963.319553,211606.828649,2700.91594793,627.25
_min_120_120_1__,421964.640716,211607.538952,2700.84853022,628.6
_min_120_120_1__,421965.961878,211608.249254,2700.77357735,630
_min_120_120_1__,421967.283041,211608.959557,2700.75449041,631.35
_min_120_120_1__,421968.604203,211609.669859,2700.78721842,632.75
_min_120_120_1__,421969.925366,211610.380162,2700.70667782,634.1
