x1,y1,G_dgm
422110.369711,212267.417053,2871.43903472
422110.310989,212266.418778,2871.6418762
422110.252267,212265.420504,2871.83926666
422110.193545,212264.422229,2872.02326026
422110.134823,212263.423955,2872.19639643
422110.076101,212262.425681,2872.39793176
422110.017379,212261.427406,2872.59905138
422109.958657,212260.429132,2872.79943888
422109.899935,212259.430858,2872.99909426
422109.841213,212258.432583,2873.19801752
422109.782491,212257.434309,2873.41415475
422109.723769,212256.436034,2873.64588722
422109.665047,212255.43776,2873.87643815
422109.606325,212254.439486,2874.10580754
422109.547603,212253.441211,2874.33399539
422109.488881,212252.442937,2874.58190938
422109.430159,212251.444663,2875.10925033
422109.371437,212250.446388,2875.65948996
422109.312715,212249.448114,2876.23262827
422109.253993,212248.449839,2876.82866526
422109.195271,212247.451565,2877.44760093
422109.136549,212246.453291,2878.13218264
422109.077827,212245.455016,2878.71727318
422109.019105,212244.456742,2879.28282251
422108.960383,212243.458468,2879.8520319
422108.746252,212242.562669,2880.44207604
422107.851825,212242.115456,2880.99838288
422106.957398,212241.668242,2881.5209524
422106.06297,212241.221028,2882.00978461
422105.168543,212240.773815,2882.46487952
422104.274116,212240.326601,2882.93756409
422103.379689,212239.879388,2883.41911427
422102.485262,212239.432174,2883.87887787
422101.590834,212238.98496,2884.31786868
422100.696407,212238.537747,2884.73608671
422100.102191,212237.868805,2885.29021606
422099.937792,212236.882411,2885.85574134
422099.773393,212235.896017,2886.41434864
422099.608994,212234.909623,2887.00104535
422099.444595,212233.923229,2887.60417479
422099.280196,212232.936835,2888.19974642
422099.115797,212231.950441,2888.81478239
422098.951398,212230.964047,2889.43056157
422098.786999,212229.977653,2890.0700754
422098.372234,212229.102417,2890.72987615
422097.750839,212228.318919,2891.38874995
422097.129444,212227.535422,2892.0466968
422096.50805,212226.751924,2892.70371669
422095.886655,212225.968426,2893.40523091
422095.26526,212225.184928,2894.14989484
422094.643865,212224.401431,2894.89014001
422094.022471,212223.617933,2895.62596644
422093.401076,212222.834435,2896.35737411
422092.779681,212222.050938,2897.04945952
422092.158287,212221.26744,2897.69575003
422091.536892,212220.483942,2898.34125303
422090.915497,212219.700445,2898.98596854
422090.294102,212218.916947,2899.62989654
422089.672708,212218.133449,2900.29836779
422089.051313,212217.349952,2901.0033742
422088.429918,212216.566454,2901.70467826
422087.808524,212215.782956,2902.40227998
422087.187129,212214.999459,2903.09617936
422086.565734,212214.215961,2903.75319734
422085.944339,212213.432463,2904.3453188
422085.322945,212212.648966,2904.93816213
422084.70155,212211.865468,2905.53172734
422084.080155,212211.08197,2906.12601442
422083.458761,212210.298473,2906.73223
422082.837366,212209.514975,2907.36428795
422082.215971,212208.731477,2907.99349668
422081.594576,212207.94798,2908.61985619
422080.973182,212207.164482,2909.24336648
422080.351787,212206.380984,2909.86338849
422079.730392,212205.597486,2910.48015002
422079.108998,212204.813989,2911.09667639
422078.487603,212204.030491,2911.71564392
422077.866208,212203.246993,2912.33547429
422077.244814,212202.463496,2912.96183308
422076.623419,212201.679998,2913.62170783
422076.002024,212200.8965,2914.27995015
422075.380629,212200.113003,2914.93656005
422074.759235,212199.329505,2915.59153753
