Line,x_450000,y_5000000,G_DGM10m,lotzeit
profil_1_,424986.95,211266.05,2624.21672878,82
profil_1_,424988.418967,211264.692746,2624.06850583,86.8666666667
profil_1_,424989.887933,211263.335493,2623.92517966,90.9166666667
profil_1_,424991.3569,211261.978239,2623.7901315,94.5666666667
profil_1_,424992.825866,211260.620986,2623.66915501,98.4166666667
profil_1_,424994.294833,211259.263732,2623.57251703,102.0833333333
profil_1_,424995.763799,211257.906479,2623.48982957,108.55
profil_1_,424997.232766,211256.549225,2623.40988743,114.2666666667
profil_1_,424998.701733,211255.191972,2623.3326906,122.3666666667
profil_1_,425000.170699,211253.834718,2623.25767513,130.3
profil_1_,425001.639666,211252.477464,2623.1872553,137.7666666667
profil_1_,425003.108632,211251.120211,2623.13058151,144.3666666667
profil_1_,425004.577599,211249.762957,2623.08884744,149.95
profil_1_,425006.046565,211248.405704,2623.05888454,154.9
profil_1_,425007.515532,211247.04845,2623.02970045,160.3
profil_1_,425008.984499,211245.691197,2623.00129517,166.0833333333
profil_1_,425010.453465,211244.333943,2622.97800408,171.65
profil_1_,425011.922432,211242.97669,2622.97214406,176.55
profil_1_,425013.391398,211241.619436,2622.97767417,181.6833333333
profil_1_,425014.860365,211240.262182,2622.99459442,187.5833333333
profil_1_,425016.329331,211238.904929,2623.02728596,193.5166666667
profil_1_,425017.798298,211237.547675,2623.06202103,199.3666666667
profil_1_,425019.267265,211236.190422,2623.09663928,205.75
profil_1_,425020.736231,211234.833168,2623.13849283,212.3333333333
profil_1_,425022.205198,211233.475915,2623.19478817,219.0833333333
profil_1_,425023.674164,211232.118661,2623.26061422,225
profil_1_,425024.774506,211230.448557,2623.20899828,229.15
profil_1_,425025.874847,211228.778452,2623.17610295,232.4
profil_1_,425026.975188,211227.108348,2623.14784163,235.3333333333
profil_1_,425028.075529,211225.438243,2623.11935599,237.8833333333
profil_1_,425029.175871,211223.768139,2623.09064601,240.7333333333
profil_1_,425030.276212,211222.098034,2623.0658074,243.8666666667
profil_1_,425031.376553,211220.427929,2623.05859992,247.3833333333
profil_1_,425032.476894,211218.757825,2623.07842126,250.5666666667
profil_1_,425033.577236,211217.08772,2623.10707704,254
profil_1_,425034.677577,211215.417616,2623.13736592,257.5666666667
profil_1_,425035.777918,211213.747511,2623.1692879,260.8333333333
profil_1_,425036.878259,211212.077407,2623.20284298,264.2833333333
profil_1_,425037.978601,211210.407302,2623.23803115,267.8833333333
profil_1_,425039.078942,211208.737198,2623.28885457,270.7666666667
profil_1_,425040.179283,211207.067093,2623.35096269,274.4166666667
profil_1_,425041.279624,211205.396989,2623.40870524,278.8
profil_1_,425042.379966,211203.726884,2623.46575686,284.45
profil_1_,425043.480307,211202.05678,2623.52211756,290.2
profil_1_,425044.580648,211200.386675,2623.57778733,295.4333333333
profil_1_,425045.680989,211198.716571,2623.63366156,300.5166666667
profil_1_,425046.781331,211197.046466,2623.69489082,306.0166666667
profil_1_,425047.881672,211195.376362,2623.76196155,313.0833333333
profil_1_,425048.982013,211193.706257,2623.83487375,320.1833333333
profil_1_,425050.082354,211192.036152,2623.91112628,326.7333333333
profil_1_,425051.182696,211190.366048,2623.95773201,332.0666666667
profil_1_,425052.283037,211188.695943,2623.99953363,336.7833333333
profil_1_,425053.383378,211187.025839,2624.04541235,341.4666666667
profil_1_,425054.483719,211185.355734,2624.09687233,347.15
profil_1_,425055.584061,211183.68563,2624.15391355,353.1166666667
profil_1_,425056.684402,211182.015525,2624.21653603,359.5666666667
profil_1_,425057.784743,211180.345421,2624.28473975,366.7833333333
profil_1_,425058.885084,211178.675316,2624.35797497,374.65
profil_1_,425059.985426,211177.005212,2624.4295764,380.8166666667
profil_1_,425061.085767,211175.335107,2624.48940808,385.05
profil_1_,425062.186108,211173.665003,2624.55412475,387.6333333333
profil_1_,425063.286449,211171.994898,2624.62390224,390.3
profil_1_,425064.386791,211170.324794,2624.69874053,393.25
profil_1_,425065.487132,211168.654689,2624.78821572,397.0333333333
profil_1_,425066.587473,211166.984585,2624.87808905,401.0166666667
profil_1_,425067.687814,211165.31448,2624.96529739,406.25
profil_1_,425068.788156,211163.644376,2625.04984072,411.7333333333
profil_1_,425069.888497,211161.974271,2625.13171906,415.85
profil_1_,425070.988838,211160.304166,2625.21158497,418.9833333333
profil_1_,425072.089179,211158.634062,2625.30949661,421.3666666667
profil_1_,425073.189521,211156.963957,2625.40810452,423.4333333333
profil_1_,425074.289862,211155.293853,2625.5036257,425.05
profil_1_,425075.390203,211153.623748,2625.59606014,426.4333333333
profil_1_,425076.490544,211151.953644,2625.68540784,427.9333333333
profil_1_,425077.590886,211150.283539,2625.77166881,429.6666666667
profil_1_,425078.691227,211148.613435,2625.86838336,431.7333333333
profil_1_,425079.791568,211146.94333,2625.97143125,433.7333333333
profil_1_,425080.891909,211145.273226,2626.07023767,435.3166666667
profil_1_,425081.992251,211143.603121,2626.16466112,436.4666666667
profil_1_,425083.092592,211141.933017,2626.25597988,438
profil_1_,425084.192933,211140.262912,2626.34419397,439.5
profil_1_,425085.293274,211138.592808,2626.43256692,440.85
profil_1_,425086.393616,211136.922703,2626.52478557,442.2333333333
profil_1_,425087.493957,211135.252599,2626.62078187,443.3666666667
profil_1_,425088.594298,211133.582494,2626.72055584,444.1166666667
profil_1_,425089.694639,211131.912389,2626.82410747,444.5833333333
profil_1_,425090.794981,211130.242285,2626.91535532,445.3333333333
