x_450000,y_5000000,G_DGM10m
425676.478773,210862.908955,2773.53858142
425674.498874,210862.626113,2772.36102835
425672.518975,210862.34327,2771.17490301
425670.539076,210862.060427,2769.9802054
425668.63661,210861.449572,2768.92318461
425666.739243,210860.817117,2767.87115311
425664.882085,210860.099292,2766.86482229
425663.186088,210859.039294,2766.27549216
425661.490092,210857.979297,2765.69841886
425659.794095,210856.919299,2765.10397264
425658.071302,210855.920547,2764.38633087
425656.141775,210855.394312,2763.26648651
425654.212247,210854.868077,2762.1231118
425652.282719,210854.341842,2760.95620674
425650.353192,210853.815607,2759.76577134
425648.436565,210853.250878,2758.64645229
425646.579612,210852.508097,2757.60604176
425644.722659,210851.765316,2756.51773927
425643.115452,210850.593953,2755.676131
425641.553714,210849.344563,2754.92412031
425640.052101,210848.050568,2754.27750736
425639.30932,210846.193615,2754.48733022
425638.566539,210844.336661,2754.67283262
425637.325802,210842.808058,2754.37172048
425635.911589,210841.393844,2753.86777709
425634.387904,210840.131514,2753.19224369
425632.599049,210839.237087,2752.35929884
425630.744758,210838.543889,2751.39035572
425628.771971,210838.215091,2750.25182159
425626.799183,210837.886293,2749.16815253
425624.80675,210837.794859,2747.94722433
425622.896046,210837.416597,2746.89582507
425621.107191,210836.522169,2746.11163216
425619.318337,210835.627742,2745.32663139
425617.556622,210834.682604,2744.60454885
425615.820136,210833.690326,2743.87367327
425614.08365,210832.698049,2743.1009239
425612.345735,210831.70844,2742.28458501
425610.556881,210830.814012,2741.36672147
425608.768026,210829.919585,2740.54481281
425606.979172,210829.025158,2739.83931475
425605.190317,210828.130731,2739.09298075
425603.436622,210827.179415,2738.34448208
425601.836622,210825.979415,2737.71935247
425600.236622,210824.779415,2737.04521974
425598.636622,210823.579415,2736.46058399
425597.036622,210822.379415,2735.86769502
425596.236577,210820.59211,2735.83514679
425595.570937,210818.70613,2735.92971231
425594.905297,210816.820149,2736.03286033
425594.239657,210814.934168,2736.12347903
425593.574017,210813.048188,2736.20156841
425592.908376,210811.162207,2736.26712846
425592.242736,210809.276226,2736.34076216
425591.662005,210807.398813,2736.48271315
425592.690997,210805.683828,2737.62998993
425593.719989,210803.968842,2738.80502118
425593.667935,210802.253856,2739.26284597
425592.638944,210800.53887,2739.03287139
425591.609504,210798.824521,2738.90409959
425589.648342,210798.432289,2737.70329617
425587.687181,210798.040056,2736.70274285
425586.042602,210796.968443,2736.1134192
425584.480864,210795.719053,2735.60823904
425582.913586,210794.47891,2735.06853408
425581.075296,210793.691071,2734.19181333
425579.237006,210792.903232,2733.39612675
425577.398716,210792.115394,2732.73333693
425575.866775,210790.875067,2732.34812577
425574.452562,210789.460854,2732.06547068
425573.038348,210788.04664,2731.77280081
425571.649215,210786.61435,2731.48272149
425570.754787,210784.825495,2731.53170549
425569.877316,210783.029027,2731.5931904
425569.134534,210781.172073,2731.81044332
425568.391753,210779.31512,2732.18682287
425567.253805,210777.688442,2732.57639136
425566.004415,210776.126704,2732.92749932
425564.749575,210774.574507,2733.30976269
425562.769676,210774.291664,2732.77854678
425560.789777,210774.008822,2732.25829571
425558.809878,210773.725979,2731.80765568
425556.829979,210773.443136,2731.40806546
425554.85008,210773.160293,2731.0208975
425552.870181,210772.877451,2730.64615182
425550.890282,210772.594608,2730.2838284
425548.910383,210772.311765,2729.87278932
425546.930484,210772.028923,2729.40949638
425544.983152,210771.579826,2729.06158887
425543.042867,210771.094755,2728.72942556
425541.102582,210770.609684,2728.38621904
425539.150356,210770.191057,2727.912425
425537.162589,210769.970194,2727.1962566
425535.174821,210769.749331,2726.50162889
425533.187054,210769.528468,2725.79330739
425531.195244,210769.380597,2725.01928356
425529.195244,210769.380597,2724.15670565
425527.195244,210769.380597,2723.32589755
425525.195244,210769.380597,2722.49508944
425523.195244,210769.380597,2721.66428134
425521.237289,210769.524982,2720.77354369
425519.549966,210770.598733,2719.62274657
425517.862643,210771.672484,2718.65306033
425516.17532,210772.746235,2717.70029746
425514.487997,210773.819986,2716.76445796
425512.800674,210774.893737,2715.84554183
425511.050491,210775.852306,2714.96955042
425509.234572,210776.690422,2714.16924626
425507.418653,210777.528538,2713.42787676
425505.602735,210778.366655,2712.69878394
425503.786816,210779.204771,2711.98196779
425501.970897,210780.042887,2711.27659507
425500.445208,210781.167146,2710.51515027
425499.632931,210782.994769,2709.64396377
425498.820654,210784.822392,2708.76554919
425498.008377,210786.650015,2707.88148061
425497.172072,210788.454677,2706.99447496
425495.373998,210789.323136,2706.21689887
425493.421624,210789.756997,2705.56199203
425491.469249,210790.190858,2704.91128297
425489.516875,210790.624719,2704.26328996
425487.561723,210791.039235,2703.61524202
425485.566153,210791.172273,2703.05639472
425483.570583,210791.305311,2702.49640276
425481.575012,210791.438349,2701.93526615
425479.579442,210791.571387,2701.39018876
425477.583872,210791.704425,2700.90759492
425475.588302,210791.837463,2700.42253289
425473.602749,210791.730749,2700.03497541
425471.625234,210791.431696,2699.73134563
425469.647719,210791.132642,2699.45376963
425468.498442,210792.706566,2698.60298381
425467.211338,210794.207746,2697.75555043
425465.6496,210795.457136,2696.96594549
425464.087863,210796.706526,2696.17014771
425462.526125,210797.955916,2695.3681571
425460.964387,210799.205306,2694.55997365
425459.40265,210800.454696,2693.71885793
425457.590649,210801.274619,2692.94277438
425455.733696,210802.017401,2692.17671227
425453.802939,210802.376949,2691.54773943
425451.802939,210802.376949,2691.05504444
425449.826796,210802.649422,2690.43805755
425447.857229,210802.996993,2689.71084615
425445.887662,210803.344563,2688.98754892
425443.918095,210803.692134,2688.26816588
425441.948528,210804.039705,2687.55269702
425439.97896,210804.387275,2686.84085255
425438.009393,210804.734846,2686.11016886
425436.062148,210805.170494,2685.3640185
425434.164782,210805.80295,2684.57441153
425432.267415,210806.435406,2683.80583385
425430.503156,210806.073912,2683.43056298
425428.839056,210804.964511,2683.35138374
425427.174955,210803.855111,2683.26657756
425425.682846,210802.554307,2683.26870975
425424.402477,210801.017865,2683.38148792
425423.122108,210799.481422,2683.49454569
425421.832858,210797.95309,2683.61631322
425420.418645,210796.538877,2683.63131069
425419.004431,210795.124663,2683.79414104
425417.778265,210793.556287,2684.11642817
425416.635122,210791.927574,2684.48366938
425414.920137,210790.898583,2684.59131101
425413.205151,210789.869591,2684.71834404
425411.865646,210790.304072,2684.39076013
425410.857904,210792.03163,2683.66148707
425409.850162,210793.759188,2682.92691308
425408.84242,210795.486745,2682.2314339
425407.834678,210797.214303,2681.53975452
425406.826935,210798.941861,2680.85187493
425405.792258,210800.65315,2680.15570724
425404.73226,210802.349147,2679.41666154
425403.672262,210804.045144,2678.64499647
425402.612264,210805.74114,2677.84071202
425401.347144,210807.258198,2677.04531975
425399.810702,210808.538567,2676.27448514
425398.274259,210809.818936,2675.5228319
425396.737817,210811.099304,2674.85260393
425395.201374,210812.379673,2674.16550967
425393.664931,210813.660042,2673.44638095
425392.128489,210814.940411,2672.69521778
